VIN,Year,Make,Model,Trim,Exterior Color,Interior Color,Odometer,MSRP,Stock Number,Fuel Economy
1FTFW3LD4SFB16665,2025,Ford,F-150,XLT,Gray Metallic,Black,0,"$64,030",SFB16665,
1FTFW3LD6SFB91836,2025,Ford,F-150,XLT,Oxford White,Black Sport,0,"$65,630",SFB91836,
1FTFW3LD6SFB45424,2025,Ford,F-150,XLT,Gray,Blk Sport,0,"$65,630",SFB45424,
1FTFW3LDXSFB45412,2025,Ford,F-150,XLT,Gray,Black Sport,0,"$65,630",SFB45412,
1FTFW3LDXSFB45443,2025,Ford,F-150,XLT,Gray,Black Sport,0,"$65,630",SFB45443,
1FTFW3LD8SFB67389,2025,Ford,F-150,XLT,Gray,Black Sport,0,"$65,630",SFB67389,
1FTFW3LD4SFB67373,2025,Ford,F-150,XLT,Iconic Silver,Black Sport,0,"$65,630",SFB67373,
1FTFW3LD6SFB67360,2025,Ford,F-150,XLT,Agate Black,Black Sport,0,"$65,630",SFB67360,
1FTFW3LD4SFB67387,2025,Ford,F-150,XLT,,,0,"$65,630",SFB67387,
1FTFW3LD5SFB91830,2025,Ford,F-150,XLT,Agate Black Metallic,Black,0,"$65,630",,
1FTFW3LD2SFB45453,2025,Ford,F-150,XLT,White,Blk Sport,0,"$66,025",SFB45453,
1FTFW3LD3SFB45431,2025,Ford,F-150,XLT,White,Black Sport,0,"$66,025",SFB45431,
1FTFW3LD4SFB45437,2025,Ford,F-150,XLT,White,Black Sport,0,"$66,025",SFB45437,
1FTFW3LD5SFC08237,2025,Ford,F-150,XLT,Iconic Silver Metallic,Medium Dark Slate,0,"$66,330",,
1FTFW3L8XSKE65937,2025,Ford,F-150,XLT,Blue Metallic,Black,0,"$67,350",SKE65937,
1FTFW4L57SFB22250,2025,Ford,F-150,Tremor,Carbonized Gray,Black,0,"$69,290",SFB22250,17/22
1FTFW4L53SFB65435,2025,Ford,F-150,Tremor,Agate Black,Black Sport,0,"$70,165",SFB65435,17/22
1FTFW4L52SFB63806,2025,Ford,F-150,Tremor,White,Blk Sprt,0,"$70,560",SFB63806,17/22
1FTFW4L58SFB64894,2025,Ford,F-150,Tremor,Antimatter Blue,Black Sport,0,"$70,560",SFB64894,17/22
1FTFW4L55SFB70720,2025,Ford,F-150,Tremor,White,Black Sport,0,"$70,560",SFB70720,17/22
1FTFW4L55SFB76761,2025,Ford,F-150,Tremor,White,Black Sport,0,"$70,560",SFB76761,17/22
1FTFW5LD4SFB86162,2025,Ford,F-150,Lariat,Blue,Slate Active X,0,"$75,340",SFB86162,
1FTFW5LD4SFB87781,2025,Ford,F-150,Lariat,Gray,Black Active X,0,"$75,945",SFB87781,
1FTFW5LD2SFB42094,2025,Ford,F-150,Lariat,White,Slate Active,0,"$77,815",SFB42094,
1FTFW5LD9SFC16286,2025,Ford,F-150,Lariat,Star White Metallic Tri-Coat,Black,0,"$79,490",,
1FTFW5LD1SFC00616,2025,Ford,F-150,Lariat,Carbonized Gray Metallic,Black,0,"$79,570",,
1FTFW6LDXSFB88536,2025,Ford,F-150,King Ranch,Antimatter Blue Metallic,Java,0,"$80,135",,
1FTFW6LD7SFB88882,2025,Ford,F-150,King Ranch,Star White Metallic Tri-Coat,Java,0,"$80,620",,
1FTFW4L53SFC02452,2025,Ford,F-150,Tremor,Carbonized Gray Metallic,Black,0,"$80,940",,15/20
1FTFW4L56SFC04485,2025,Ford,F-150,Tremor,Space White Metallic,Black,0,"$81,335",,15/20
1FTFW7LD6SFB87793,2025,Ford,F-150,Platinum,White,Black,0,"$86,205",SFB87793,
1FTFW7LD3SFB88402,2025,Ford,F-150,Platinum,White,Black Interior,0,"$86,805",SFB88402,
1FTBF2AA8PED32520,2023,Ford,F-250,XL,Oxford White,Medium Earth Gray,0,"$46,175",230842,
1FTBF2AA9PEC61439,2023,Ford,F-250,XL,Oxford White,Medium Earth Gray,0,"$49,975",230457,
1FTBF2AA0REF89495,2024,Ford,F-250,XL,Oxford White,Medium Dark Slate,0,"$47,710",241364,
1FTBF2AA6REC55889,2024,Ford,F-250,XL,Oxford White,Medium Earth Gray,0,"$47,870",240184,
1FTBF2AA7REC55903,2024,Ford,F-250,XL,Oxford White,Medium Earth Gray,0,"$47,870",240232,
1FT7W2BT1REC89924,2024,Ford,F-250,XLT,Carbonized Gray,Medium Dark Slate,0,"$71,280",240329,
1FT8W2BT8REC24637,2024,Ford,F-250,Lariat,Oxford White,Black Onyx,0,"$85,895",240185,
1FT8W2BT3REC96975,2024,Ford,F-250,Platinum,Oxford White,Black Onyx,0,"$94,990",240630,
1FT8W2BT2RED04399,2024,Ford,F-250,Platinum,Agate Black,Black Onyx,0,"$93,995",240515,
1FTBF2AA4SEC68176,2025,Ford,F-250,XL,Oxford White,Medium Dark Slate,0,"$47,760",SEC68176,
1FTBF2AAXSED04548,2025,Ford,F-250,XL,Oxford White,Medium Dark Slate,0,"$49,815",SED04548,
1FT7X2AAXSEE13000,2025,Ford,F-250,XL,Oxford White,Med Dark Slate,0,"$50,785",SEE13000,
1FT7X2AA6SEC37806,2025,Ford,F-250,XL,Oxford White,Medium Dark Slate,0,"$50,950",SEC37806,
1FT7X2BA4SEE12987,2025,Ford,F-250,XL,Oxford White,Med Dark Slate,0,"$55,480",SEE12987,
1FTBF2AT6SED15368,2025,Ford,F-250,XL,Oxford White,Medium Dark Slate,0,"$59,490",SED15368,
