year,make,model,trim,vin,stockNumber,msrp,internetPrice,salePrice,mileage,extColor,intColor,bodyStyle,engine,transmission,driveLine,status,primary_image_url
2025,Ford,F-150,STX,1FTEW2KP6SKE60846,SKE60846,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XL,1FTEX1LP7SKD48370,SKD48370,,,,,,,Truck SuperCab,,,,in_transit,
2025,Ford,F-150,XL,1FTEW1KP9SKE92118,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,XL,1FTEW1KP3SKF10516,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,XL,1FTEW1KP7SKF01852,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,STX,1FTEW2LP9SKE31257,SKE31257,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,STX,1FTEW2LP4SKE59242,SKE59242,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XL,1FTEW1LPXSKD59687,SKD59687,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,STX,1FTEW2LP2SKE84091,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,STX,1FTEW2LP3SKF00945,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,STX,1FTEW2LP4SKE86389,SKE86389,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,STX,1FTEW2LP5SKE85655,SKE85655,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,STX,1FTEW2LP5SKF28052,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,STX,1FTFW2L59SKE60731,SKE60731,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,STX,1FTEW2LP1SKF15458,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,STX,1FTEW2LP7SKF17635,,,,,,,,TRUCK,,,,in_transit,
2025,Ford,F-150,XLT,1FTEW3K58SKE09725,SKE09725,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD7SFA78087,SFA78087,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD7SFA84729,SFA84729,,,,,,,Truck SuperCrew Cab,,,,live,
2025,Ford,F-150,XLT,1FTFW3LD8SFB42282,SFB42282,,,,,,,Truck SuperCrew Cab,,,,live,
