index,title,stock,vin,msrp,discounts,rebates,retail_price,exterior,interior,status,mpg
249,"2025 Ford Bronco Big Bend SUV I-4 cyl","SLA77581","1FMDE7BH6SLA77581","46,750","-1,199","-1,000","44,551","Carbonized Gray Metallic","Black Onyx","IN STOCK","20/21"
250,"2025 Ford Mustang Mach-E Premium CROSSOVERS Standard Range Battery (RWD)","N/A","3FMTK3R44SMA49454","46,460","N/A","N/A","N/A","Shadow Black","Light Space Gray","N/A","106/"
251,"2025 Ford Mustang GT Coupe V-8 cyl","S5413074","1FA6P8CFXS5413074","48,555","-2,266","-2,500","43,789","Carbonized Gray","Blk Onyx Clth","IN STOCK","15/24"
252,"2025 Ford Bronco Big Bend SUV EcoBoost I-4 Engine","N/A","1FMDE7BH1SLB25763","47,300","N/A","N/A","N/A","Oxford White","Black Onyx","N/A","18/22"
253,"2025 Ford Mustang Mach-E Premium SUV Standard Range Battery (RWD)","SMA44665","3FMTK3R43SMA44665","48,005","-909","N/A","47,096","Glacier Gray TriCoat","Blk Perforated","IN STOCK","106/98"
254,"2025 Ford Mustang Mach-E Premium SUV Extended Range Battery (RWD)","SMA09539","3FMTK3R77SMA09539","48,935","-928","-2,000","46,007","Star White Tri-Coat","Light Space Gray","IN STOCK","106/98"
255,"2025 Ford Bronco Big Bend SUV EcoBoost I-4 Engine","N/A","1FMDE7BH0SLB11286","49,335","N/A","N/A","N/A","Ruby Red Metallic Tinted Clearcoat","Black Onyx","N/A","18/22"
256,"2025 Ford Transit Commercial Cargo Van VAN PFDi V6 Engine","N/A","1FTYE1Y87SKA94910","50,495","N/A","N/A","N/A","Oxford White","Dark Palazzo","N/A","N/A"
257,"2025 Ford Mustang Mach-E Premium SUV Extended Range Battery (RWD)","SMA13477","3FMTK3R79SMA13477","49,680","-943","-2,000","46,737","Star White Tri-Coat","Light Space Gray","IN STOCK","106/98"
258,"2025 Ford Mustang Mach-E Premium SUV Extended Range Battery (RWD)","SMA13477","3FMTK3R79SMA13477","49,680","-943","-2,000","46,737","Star White Tri-Coat","Light Space Gray","IN STOCK","106/98"
259,"2025 Ford Mustang Mach-E Premium SUV Extended Range Battery (RWD)","SMA31143","3FMTK3R74SMA31143","49,980","-1,223","-2,000","46,757","Velocity Blue","Blk Perforated","IN STOCK","106/98"
260,"2025 Ford Mustang Mach-E Premium CROSSOVERS Extended Range Battery (RWD)","N/A","3FMTK3R74SMA49867","49,530","N/A","N/A","N/A","Velocity Blue Metallic","Black Onyx","N/A","106/"
261,"2025 Ford Transit-150 Cargo Base Van Low Roof Van V-6 cyl","SKA42182","1FTYE1Y84SKA42182","49,790","-1,000","-1,500","47,290","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
262,"2025 Ford Transit-150 Cargo Base Van Low Roof Van V-6 cyl","SKA42182","1FTYE1Y84SKA42182","49,790","-1,000","-1,500","47,290","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
263,"2025 Ford Transit-150 Cargo Base Van Low Roof Van V-6 cyl","SKA42525","1FTYE1Y88SKA42525","49,790","-1,000","-1,500","47,290","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
264,"2025 Ford Transit-150 Cargo Base Van Low Roof Van V-6 cyl","SKA42130","1FTYE1Y87SKA42130","49,790","-1,000","-1,500","47,290","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
265,"2025 Ford Transit-150 Cargo Base Van Low Roof Van V-6 cyl","SKA42030","1FTYE1Y83SKA42030","49,790","-1,000","-1,500","47,290","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
266,"2025 Ford Transit-150 Cargo Base Van Low Roof Van V-6 cyl","SKA19622","1FTYE1Y81SKA19622","50,390","-1,000","-1,500","47,890","Oxford White","Dark Palazzo Gray","IN STOCK","N/A"
267,"2025 Ford Mustang Mach-E Premium SUV Extended Range Battery (RWD)","SMA27107","3FMTK3R72SMA27107","50,515","-959","N/A","49,556","Desert Sand","Gray","N/A","106/98"
268,"2025 Ford Bronco Big Bend SUV EcoBoost I-4 Engine","N/A","1FMDE7BHXSLB15460","51,335","N/A","N/A","N/A","Oxford White","Black Onyx","N/A","18/22"
269,"2025 Ford Bronco Big Bend SUV EcoBoost I-4 Engine","N/A","1FMDE7BH6SLB11308","51,730","N/A","N/A","N/A","Desert Sand","Black Onyx","N/A","18/22"
270,"2025 Ford Bronco Big Bend SUV EcoBoost I-4 Engine","N/A","1FMDE7BH6SLB28691","51,880","N/A","N/A","N/A","Azure Gray Metallic Tri-Coat","Black Onyx","N/A","18/22"
271,"2025 Ford Bronco Outer Banks SUV I-4 cyl","SLA79117","1FMDE8BH5SLA79117","52,420","-1,753","-1,000","49,667","Eruption Green","Smkd Truffle","IN STOCK","20/21"
272,"2025 Ford Mustang Mach-E Premium SUV Extended Range Battery (RWD)","SMA15881","3FMTK3R74SMA15881","51,680","-983","-2,000","48,697","Shadow Black","Black Onyx","IN STOCK","106/98"
273,"2025 Ford Mustang Mach-E Premium CROSSOVERS Extended Range Battery (RWD)","N/A","3FMTK3R75SMA33953","51,510","N/A","N/A","N/A","Glacier Gray Metallic Tri-Coat","Black Onyx","N/A","106/"
274,"2025 Ford Mustang Mach-E Premium CROSSOVERS Extended Range Battery (RWD)","N/A","3FMTK3R7XSMA49906","51,705","N/A","N/A","N/A","Molten Magenta Metallic Tinted Clearcoat","Black Onyx","N/A","106/"
275,"2025 Ford Mustang Mach-E Premium CROSSOVERS Extended Range Battery (RWD)","N/A","3FMTK3R74SMA49075","51,705","N/A","N/A","N/A","Glacier Gray Metallic Tri-Coat","Black Onyx","N/A","106/"
