VIN,Stock Number,Price,Year,Make,Model,Trim,Driveline,Body,Wheelbase,Engine,Transmission,Exterior Color,Interior Color,Seating,Equipment Group
1FTEW1KP3SKF10516,SKF10516,"$47,485",2025,Ford,F-150,XL,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE CLOTH,40/20/40,103A
1FTEW1KP7SKF01852,SKF01852,"$47,485",2025,Ford,F-150,XL,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE CLOTH,40/20/40,103A
1FTEX1LP7SKD48370,SKD48370,"$47,455",2025,Ford,F-150,XL,4X4,SUPER CAB EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,101A
1FTEX1LP1SKF44725,SKF44725,"$48,155",2025,Ford,F-150,XL,4X4,SUPER CAB EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,101A
1FTEX1LP2SKF45799,,"$48,155",2025,Ford,F-150,XL,4X4,SUPER CAB EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,DARK SLATE VINYL,40/20/40,101A
1FTEW2KP4SKF14578,SKF14578,"$49,545",2025,Ford,F-150,STX,4X2,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,AGATE BLACK METALLIC,BLACK  CLOTH,40/console/40,200B
1FTEW2LPXSFB20364,SFB20364,"$52,230",2025,Ford,F-150,STX,4X4,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,CARBONIZED GRAY METALLIC,BLACK  CLOTH,40/console/40,200A
1FTEW2LP5SKE85655,SKE85655,"$53,190",2025,Ford,F-150,STX,4X4,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,OXFORD WHITE,BLACK  CLOTH,40/console/40,200A
1FTEW2LPXSKF27902,SKF27902,"$53,425",2025,Ford,F-150,STX,4X4,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,ICONIC SILVER METALLIC,BLACK  CLOTH,40/console/40,200B
1FTEW2LP5SKF58619,,"$53,590",2025,Ford,F-150,STX,4X4,SUPERCREW EXTERIOR,"145""",2.7L V6 ECOBOOST,ELEC TEN-SPEED AUTO TRANS,ICONIC SILVER METALLIC,BLACK  CLOTH,40/console/40,200A
