VIN,Stock Number,Price,Year,Make,Model,Trim,Driveline,Body,Wheelbase,Engine,Transmission,Exterior Color,Interior Color,Seating,Equipment Group
3FTTW8H30SRB26645,SRB26645,"$32,340",,Ford,,XLT,,,,,,,,,
3FTTW8H35SRA83436,SRA83436,"$32,340",,Ford,,XLT,,,,,,,,,
3FTTW8H35SRB14281,SRB14281,"$32,340",,Ford,,XLT,,,,,,,,,
3FTTW8H38SRB03016,SRB03016,"$32,340",,Ford,,XLT,,,,,,,,,
3FMCR9BN8SRF20154,SRF20154,"$32,990",,Ford,,Big Bend,,,,,,,,,
3FMCR9BN9SRF13147,SRF13147,"$32,990",,Ford,,Big Bend,,,,,,,,,
3FMCR9BN7SRF41836,,"$33,690",,Ford,,Big Bend,,,,,,,,,
3FMCR9BN6SRF35767,,"$33,690",,Ford,,Big Bend,,,,,,,,,
3FMCR9BN2SRF28248,SRF28248,"$34,685",,Ford,,Big Bend,,,,,,,,,
3FMCR9BN9SRF20275,SRF20275,"$35,080",,Ford,,Big Bend,,,,,,,,,
1FTER4BH0SLE19019,SLE19019,"$35,170",,Ford,,XL,,,,,,,,,
1FA6P8TH3S5130324,S5130324,"$36,110",,Ford,,Ecoboost,,,,,,,,,
1FA6P8TH7S5131217,S5131217,"$36,110",,Ford,,Ecoboost,,,,,,,,,
1FA6P8TH4S5132437,S5132437,"$36,110",,Ford,,Ecoboost,,,,,,,,,
1FTER4BH6SLE24127,SLE24127,"$35,315",,Ford,,XL,,,,,,,,,
1FTER4BH0SLE17898,SLE17898,"$35,315",,Ford,,XL,,,,,,,,,
1FTER4BH4SLE30122,SLE30122,"$35,705",,Ford,,XL,,,,,,,,,
3FMCR9BN0SRF40379,,"$35,980",,Ford,,Big Bend,,,,,,,,,
1FA6P8TH2S5132145,,"$36,505",,Ford,,Ecoboost Fastback,,,,,,,,,
3FTCW8TA4SRA94918,SRA94918,"$36,950",,Ford,,Lobo,,,,,,,,,
3FTCW8TA3SRB13782,SRB13782,"$37,625",,Ford,,Lobo,,,,,,,,,
3FTCW8TA9SRB14290,SRB14290,"$37,625",,Ford,,Lobo Standard,,,,,,,,,
1FA6P8TH6S5131418,,"$38,405",,Ford,,Ecoboost Fastback,,,,,,,,,
3FMCR9CN0SRF35424,SRF35424,"$38,490",,Ford,,Outer Banks,,,,,,,,,
3FMCR9BN3SRE93557,SRE93557,"$38,495",,Ford,,Big Bend,,,,,,,,,
1FTER4GH0SLE53986,,"$39,125",,Ford,,XLT,,,,,,,,,
1FTER4PH6SLE50557,,"$38,830",,Ford,,XL,,,,,,,,,
3FMCR9GN5SRF51791,,"$38,880",,Ford,,Heritage,,,,,,,,,
3FTTW8SA3SRB43818,SRB43818,"$39,230",,Ford,,Lariat,,,,,,,,,
3FMCR9CN1SRF26814,SRF26814,"$40,880",,Ford,,Outer Banks,,,,,,,,,
3FMCR9CN3SRF41136,SRF41136,"$40,880",,Ford,,Outer Banks,,,,,,,,,
3FMCR9CN1SRF37019,SRF37019,"$40,980",,Ford,,Outer Banks,,,,,,,,,
3FMCR9CN9SRF47961,,"$40,985",,Ford,,Outer Banks,,,,,,,,,
3FMCR9CN6SRF53667,,"$40,985",,Ford,,Outer Banks,,,,,,,,,
3FTTW8SA1SRB44224,SRB44224,"$40,875",,Ford,,Lariat,,,,,,,,,
3FMCR9CN0SRF10152,SRF10152,"$41,875",,Ford,,Outer Banks,,,,,,,,,
1FTER4HH3SLE42141,SLE42141,"$41,605",,Ford,,XLT,,,,,,,,,
1FTER4HH7SLE54339,,"$42,005",,Ford,,XLT,,,,,,,,,
3FMCR9CN3SRF53481,,"$41,980",,Ford,,Outer Banks,,,,,,,,,
3FMTK1R47SMA44995,SMA44995,"$41,780",,Ford,,Select,,,,,,,,,
3FTTW8S32SRB62751,,"$42,370",,Ford,,Lariat,,,,,,,,,
3FTTW8S33SRB47000,SRB47000,"$42,780",,Ford,,Lariat,,,,,,,,,
3FMTK1R46SMA30716,SMA30716,"$42,780",,Ford,,Select,,,,,,,,,
3FMTK1R41SMA47486,SMA47486,"$43,080",,Ford,,Select,,,,,,,,,
3FMTK3R46SMA07139,SMA07139,"$43,085",,Ford,,Premium,,,,,,,,,
1FMDE6AH9SLB23626,SLB23626,"$42,975",,Ford,,Base,,,,,,,,,
1FMDE6BH5SLB21547,SLB21547,"$44,580",,Ford,,Base,,,,,,,,,
1FMDE6BH5SLB08104,SLB08104,"$44,975",,Ford,,Base,,,,,,,,,
3FMTK3R44SMA49454,SMA49454,"$46,460",,Ford,,Premium,,,,,,,,,
1FMDE7BH1SLB25763,SLB25763,"$47,300",,Ford,,Big Bend,,,,,,,,,
1FMDE7BH0SLB11286,SLB11286,"$47,795",,Ford,,Big Bend,,,,,,,,,
1FMDE7BH8SLB30099,,"$47,970",,Ford,,Big Bend,,,,,,,,,
1FMDE7BH7SLB47072,,"$47,970",,Ford,,Big Bend,,,,,,,,,
1FMDE7BHXSLB46823,,"$48,365",,Ford,,Big Bend,,,,,,,,,
1FMDE7BH2SLB21060,SLB21060,"$48,595",,Ford,,Big Bend,,,,,,,,,
1FMDE7BH0SLB35619,,"$48,465",,Ford,,Big Bend,,,,,,,,,
1FDRF3ENXSED29916,SED29916,"$53,625",,Ford,,XL,,,,,,,,,
1FDRF3EN5SED29628,SED29628,"$53,625",,Ford,,XL,,,,,,,,,
1FTYE1Y86SKB22342,,"$50,420",,Ford,,Cargo Van,,,,,,,,,
1FMDE7BHXSLB15460,SLB15460,"$49,795",,Ford,,Big Bend,,,,,,,,,
3FMTK3R74SMA49867,SMA49867,"$49,530",,Ford,,Premium,,,,,,,,,
3FMTK3R75SMA09247,SMA09247,"$49,680",,Ford,,Premium,,,,,,,,,
3FMTK3R79SMA13477,SMA13477,"$49,680",,Ford,,Premium,,,,,,,,,
3FMTK3R74SMA31143,SMA31143,"$49,980",,Ford,,Premium,,,,,,,,,
1FTYE1Y87SKA42001,SKA42001,"$49,790",,Ford,,Base,,,,,,,,,
1FTYE1Y84SKA42182,SKA42182,"$49,790",,Ford,,Base,,,,,,,,,
1FTYE1Y88SKA42525,SKA42525,"$49,790",,Ford,,Base,,,,,,,,,
1FTYE1Y87SKA42130,SKA42130,"$49,790",,Ford,,Base,,,,,,,,,
1FTYE1Y83SKA42030,SKA42030,"$49,790",,Ford,,Base,,,,,,,,,
1FMDE7BH6SLB28691,SLB28691,"$50,340",,Ford,,Big Bend,,,,,,,,,
1FTYE1Y81SKA19622,SKA19622,"$50,390",,Ford,,Base,,,,,,,,,
3FMTK3R72SMA57045,,"$50,480",,Ford,,Premium,,,,,,,,,
3FMTK3R77SMA51970,,"$50,480",,Ford,,Premium,,,,,,,,,
1FTYE1Y85SKB30853,SKB30853,"$50,420",,Ford,,Base,,,,,,,,,
1FTBR1Y81SKB31024,,"$52,840",,Ford,,Cargo Van,,,,,,,,,
1FTBR1Y80SKB31001,,"$52,840",,Ford,,Cargo Van,,,,,,,,,
1FTBR1Y83SKB30621,,"$52,840",,Ford,,Cargo Van,,,,,,,,,
1FTYE1Y87SKA94910,SKA94910,"$50,495",,Ford,,Base,,,,,,,,,
3FMTK3R7XSMA49906,SMA49906,"$51,705",,Ford,,Premium,,,,,,,,,
3FMTK3R74SMA49075,SMA49075,"$51,705",,Ford,,Premium,,,,,,,,,
3FMTK3R72SMA53013,,"$51,705",,Ford,,Premium,,,,,,,,,
1FMDE8BH5SLB27425,SLB27425,"$52,725",,Ford,,Outer Banks,,,,,,,,,
1FTBR1Y8XSKA96676,SKA96676,"$51,485",,Ford,,Base,,,,,,,,,
1FTBR1Y8XSKA48143,SKA48143,"$51,485",,Ford,,Base,,,,,,,,,
1FTYE1C87SKA92761,SKA92761,"$52,790",,Ford,,Base,,,,,,,,,
1FTBR1C87SKA26057,SKA26057,"$51,790",,Ford,,Base,,,,,,,,,
3FMTK3R78SMA55560,,"$52,750",,Ford,,Premium,,,,,,,,,
1FTBR1Y85SKA93622,SKA93622,"$53,030",,Ford,,Base,,,,,,,,,
1FTBR1Y85SKA34201,SKA34201,"$53,540",,Ford,,Base,,,,,,,,,
1FTBR1C83SKB30934,SKB30934,"$55,220",,Ford,,Cargo Van,,,,,,,,,
1FTBR1C86SKB29678,,"$55,220",,Ford,,Cargo Van,,,,,,,,,
1FTBR1Y86SKB21637,SKB21637,"$52,840",,Ford,,Base,,,,,,,,,
1FTBR1Y88SKB21882,SKB21882,"$52,840",,Ford,,Base,,,,,,,,,
1FTBR1Y81SKA93620,SKA93620,"$53,030",,Ford,,Base,,,,,,,,,
1FTBR1Y89SKA93624,SKA93624,"$53,030",,Ford,,Base,,,,,,,,,
1FTBR1Y80SKA93446,SKA93446,"$53,030",,Ford,,Base,,,,,,,,,
1FMDE8BH3SLA67645,SLA67645,"$55,245",,Ford,,Outer Banks,,,,,,,,,
1FT8W3BA6SED33317,SED33317,"$56,605",,Ford,,XL,,,,,,,,,
1FTBW9C85SKA93618,SKA93618,"$55,155",,Ford,,Base,,,,,,,,,
3FMTK3R7XSMA43538,SMA43538,"$55,250",,Ford,,Premium,,,,,,,,,
1FTBW1Y87SKB30209,,"$57,465",,Ford,,Cargo Van,,,,,,,,,
1FTBW9C84SKA93187,SKA93187,"$55,155",,Ford,,Base,,,,,,,,,
1FTBR1X88SKA97309,SKA97309,"$55,160",,Ford,,Base,,,,,,,,,
1FTBR1C82SKB27152,SKB27152,"$55,220",,Ford,,Base,,,,,,,,,
1FMEE8BPXSLB21745,,"$58,190",,Ford,,Outer Banks,,,,,,,,,
1FMEE8BP4SLB21451,SLB21451,"$58,395",,Ford,,Outer Banks,,,,,,,,,
3FMTK3SU1SMA40849,SMA40849,"$57,700",,Ford,,Premium,,,,,,,,,
3FMTK3SU8SMA47412,SMA47412,"$57,750",,Ford,,Premium,,,,,,,,,
3FMTK3SU8SMA47491,SMA47491,"$57,750",,Ford,,Premium,,,,,,,,,
1FMEE8BP0SLB32172,,"$58,745",,Ford,,Outer Banks,,,,,,,,,
3FMTK3SU1SMA41385,SMA41385,"$58,250",,Ford,,Premium,,,,,,,,,
1FTBW1Y84SKB22049,SKB22049,"$57,465",,Ford,,Base,,,,,,,,,
1FMEE8BP9SLB31943,,"$60,140",,Ford,,Outer Banks,,,,,,,,,
1FTER4LR7SLE32812,SLE32812,"$58,260",,Ford,,Raptor,,,,,,,,,
1FBAX2Y85SKB30227,,"$61,480",,Ford,,Passenger Van XL,,,,,,,,,
1FBAX2Y89SKB27153,,"$61,480",,Ford,,Passenger Van XL,,,,,,,,,
1FTER4LR2SLE46648,SLE46648,"$58,715",,Ford,,Raptor,,,,,,,,,
3FMTK4SX0SMA24318,SMA24318,"$61,305",,Ford,,GT,,,,,,,,,
1FA6P8CFXS5418551,,"$63,075",,Ford,,GT Premium Fastback,,,,,,,,,
1FA6P8CFXS5416492,S5416492,"$63,470",,Ford,,GT Premium,,,,,,,,,
1FBAX2C81SKA81065,SKA81065,"$60,860",,Ford,,XL,,,,,,,,,
3FMTK4SX9SMA55972,,"$62,205",,Ford,,GT,,,,,,,,,
1FTRF3BT2SED21297,SED21297,"$64,595",,Ford,,XL,,,,,,,,,
1FA6P8CF9S5412479,S5412479,"$64,365",,Ford,,GT Premium,,,,,,,,,
3FMTK4SX8SMA43151,SMA43151,"$62,500",,Ford,,GT,,,,,,,,,
1FMEE8BP5SLB07462,SLB07462,"$63,660",,Ford,,Outer Banks,,,,,,,,,
1FMEE8BP8SLB25275,SLB25275,"$63,660",,Ford,,Outer Banks,,,,,,,,,
1FMEE8BP4SLB09963,,"$64,055",,Ford,,Outer Banks,,,,,,,,,
1FA6P8CFXS5410336,S5410336,"$65,750",,Ford,,GT Premium,,,,,,,,,
1FT8W3BN5SED26006,SED26006,"$66,390",,Ford,,XLT,,,,,,,,,
1FT8W3BT3SED65739,SED65739,"$66,660",,Ford,,XL,,,,,,,,,
1FT8W3BT9SED64515,SED64515,"$66,660",,Ford,,XL,,,,,,,,,
1FT8W3BT6SED19080,SED19080,"$66,985",,Ford,,XL,,,,,,,,,
1FTVW3LK5SWG29711,,"$66,315",,Ford,,XLT,,,,,,,,,
1FBAX2XG1SKB16463,SKB16463,"$68,430",,Ford,,Passenger Van XLT,,,,,,,,,
1FBAX2XG3SKB16674,SKB16674,"$68,430",,Ford,,XLT,,,,,,,,,
1FT7W2BT0SEC84459,SEC84459,"$72,395",,Ford,,F-250 XLT,,,,,,,,,
1FA6P8R05S5502845,S5502845,"$73,560",,Ford,,Dark Horse,,,,,,,,,
1FMEE9BP0SLA95517,SLA95517,"$73,390",,Ford,,Badlands,,,,,,,,,
1FT6W3LU5SWG23347,SWG23347,"$73,395",,Ford,,Flash,,,,,,,,,
1FT6W3LU0SWG27841,,"$73,395",,Ford,,Flash,,,,,,,,,
1FDUF4GT2SDA10902,SDA10902,"$70,795",,Ford,,XL,,,,,,,,,
1FT6W3LU2SWG23516,SWG23516,"$74,595",,Ford,,Flash,,,,,,,,,
1FT6W3LU9SWG19124,SWG19124,"$74,595",,Ford,,Flash,,,,,,,,,
1FA6P8R03S5501046,S5501046,"$72,665",,Ford,,Dark Horse,,,,,,,,,
1FMJK1J85SEA64710,,"$76,935",,Ford,,Active MAX,,,,,,,,,
1FT6W5L75SWG29946,,"$79,790",,Ford,,Lariat,,,,,,,,,
1FD8X3FT8SEE03291,SEE03291,"$101,960",,Ford,,XL,,,,,,,,,
1FT6W7L75SWG19204,SWG19204,"$88,960",,Ford,,Platinum,,,,,,,,,
1FT8W3BT0SEC20254,250090,"$92,040",,Ford,,Lariat,,,,,,,,,
1FT8W3DT8SEC77797,SEC77797,"$93,540",,Ford,,Lariat,,,,,,,,,
1FMEE0RR9SLB06033,,"$89,800",,Ford,,Raptor,,,,,,,,,
1FMEE0RR2SLA91777,SLA91777,"$92,780",,Ford,,Raptor,,,,,,,,,
1FT8W3BM5SEE02024,SEE02024,"$98,335",,Ford,,Lariat,,,,,,,,,
1FT8W3BM1SEC39694,SEC39694,"$98,940",,Ford,,King Ranch,,,,,,,,,
1FMEE0RR5SLB19409,,"$93,875",,Ford,,Raptor,,,,,,,,,
1FDNF6AN4SDF02714,240709UP,"$110,098",,Ford,,Base,,,,,,,,,
1FT8W3BM7SEC67385,SEC67385,"$100,060",,Ford,,Platinum,,,,,,,,,
1FA6P8TH3T5101570,,"$36,585",,Ford,,Ecoboost Fastback,,,,,,,,,
1FA6P8TH7T5101569,,"$36,980",,Ford,,Ecoboost Fastback,,,,,,,,,
1FT7X2AA4TEC80333,,"$52,005",,Ford,,F-250 XL,,,,,,,,,
1FD8W3ENXTEC16304,TEC16304,"$57,490",,Ford,,XL,,,,,,,,,
1FD8W3ET7TEC00527,TEC00527,"$68,185",,Ford,,XL,,,,,,,,,
1FD8W3ET2TEC00953,TEC00953,"$68,185",,Ford,,XL,,,,,,,,,
1FD8X3FT1TEC00521,TEC00521,"$68,225",,Ford,,XL,,,,,,,,,
1FD8W3FT9TEC00639,TEC00639,"$69,490",,Ford,,XL,,,,,,,,,
1FD8X3FTXTEC17107,TEC17107,"$70,395",,Ford,,XL,,,,,,,,,
1FD8X3FT4TEC17717,TEC17717,"$70,395",,Ford,,XL,,,,,,,,,
1FD8X3FT3TEC17210,TEC17210,"$70,395",,Ford,,XL,,,,,,,,,
1FD8X3FT9TEC00945,TEC00945,"$70,420",,Ford,,XL,,,,,,,,,
1FD8X3FT8TEC00807,TEC00807,"$70,470",,Ford,,XL,,,,,,,,,
1FT8W2BT5TEC80364,,"$75,250",,Ford,,F-250 XL,,,,,,,,,
1FD8W3FT0TEC00240,TEC00240,"$71,685",,Ford,,XL,,,,,,,,,
1FD8W3FT3TEC17064,TEC17064,"$71,870",,Ford,,XL,,,,,,,,,
1FT8W2BTXTEC56724,,"$84,460",,Ford,,F-250 Lariat,,,,,,,,,
1FT8W2BT2TEC79365,,"$84,460",,Ford,,F-250 Lariat,,,,,,,,,
1FT8W2BT3TEC57133,,"$84,560",,Ford,,F-250 Lariat,,,,,,,,,
1FT8W2BT9TEC67844,,"$88,435",,Ford,,F-250 Lariat,,,,,,,,,
1FT8W3BT2TEC53855,,"$92,010",,Ford,,F-350 Lariat,,,,,,,,,
1FT8W3BT5TEC53946,,"$92,895",,Ford,,F-350 Lariat,,,,,,,,,
1FT8W3BT1TEC82229,,"$92,895",,Ford,,F-350 Lariat,,,,,,,,,
1FT8W2BT4TEC70179,,"$93,865",,Ford,,F-250 Lariat,,,,,,,,,
1FT8W3BT0TEC67902,,"$93,890",,Ford,,F-350 Lariat,,,,,,,,,
1FT8W2BM5TEC71611,,"$96,805",,Ford,,F-250 Lariat,,,,,,,,,
1FT8W2BM6TEC63601,,"$96,805",,Ford,,F-250 Lariat,,,,,,,,,
1FT8W3DT1TEC05177,TEC05177,"$95,395",,Ford,,Lariat,,,,,,,,,
1FT8W2BM2TEC80315,,"$101,220",,Ford,,F-250 King Ranch,,,,,,,,,
1FT8W2BM9TEC79467,,"$101,720",,Ford,,F-250 King Ranch,,,,,,,,,
1FT8W2BM7TEC66670,,"$101,720",,Ford,,F-250 King Ranch,,,,,,,,,
1FT8W3BM1TEC34786,TEC34786,"$102,325",,Ford,,King Ranch,,,,,,,,,
1FT8W3BM6TEC04490,TEC04490,"$103,340",,Ford,,King Ranch,,,,,,,,,
1FT8W3BM5TEC43894,TEC43894,"$105,445",,Ford,,Platinum,,,,,,,,,
1FT8W3BMXTEC10826,TEC10826,"$106,440",,Ford,,Platinum,,,,,,,,,
